human	lizard	chicken
ENSG00000012983	ENSACAG00000001889	ENSGALG00000012321
ENSG00000151748	ENSACAG00000014329	ENSGALG00000012341
ENSG00000149292	ENSACAG00000008658	ENSGALG00000042304
ENSG00000112941	ENSACAG00000000497	ENSGALG00000013061
ENSG00000262814	ENSACAG00000010743	ENSGALG00000045753
ENSG00000165684	ENSACAG00000011642	ENSGALG00000044726
ENSG00000183475	ENSACAG00000009786	ENSGALG00000007115
ENSG00000108559	ENSACAG00000015448	ENSGALG00000032280
ENSG00000153823	ENSACAG00000005749	ENSGALG00000002963
ENSG00000174059	ENSACAG00000008223	ENSGALG00000001177
ENSG00000186318	ENSACAG00000001353	ENSGALG00000007298
ENSG00000198888	ENSACAG00000028215	ENSGALG00000042750
ENSG00000198763	ENSACAG00000028219	ENSGALG00000043768
ENSG00000198804	ENSACAG00000028225	ENSGALG00000032142
ENSG00000198712	ENSACAG00000028228	ENSGALG00000032456
ENSG00000163431	ENSACAG00000005019	ENSGALG00000028721
ENSG00000170549	ENSACAG00000023038	ENSGALG00000030991
ENSG00000198899	ENSACAG00000028231	ENSGALG00000041091
ENSG00000198938	ENSACAG00000028232	ENSGALG00000035334
ENSG00000129667	ENSACAG00000008383	ENSGALG00000001943
ENSG00000198840	ENSACAG00000028234	ENSGALG00000030436
ENSG00000117834	ENSACAG00000005693	ENSGALG00000010494
ENSG00000170482	ENSACAG00000016325	ENSGALG00000037642
ENSG00000198727	ENSACAG00000028244	ENSGALG00000032079
ENSG00000116962	ENSACAG00000002089	ENSGALG00000042079
ENSG00000160185	ENSACAG00000003008	ENSGALG00000016173
ENSG00000129951	ENSACAG00000005861	ENSGALG00000038529
ENSG00000197889	ENSACAG00000029218	ENSGALG00000000451
ENSG00000179044	ENSACAG00000001844	ENSGALG00000001702
ENSG00000187510	ENSACAG00000012435	ENSGALG00000011277
ENSG00000116353	ENSACAG00000001529	ENSGALG00000032763
ENSG00000137707	ENSACAG00000006608	ENSGALG00000007618
ENSG00000196814	ENSACAG00000009852	ENSGALG00000000950
ENSG00000158258	ENSACAG00000003514	ENSGALG00000037387
ENSG00000124191	ENSACAG00000008446	ENSGALG00000003106
ENSG00000144744	ENSACAG00000015287	ENSGALG00000013410
ENSG00000198846	ENSACAG00000005632	ENSGALG00000039102
ENSG00000053254	ENSACAG00000012791	ENSGALG00000010665
ENSG00000021852	ENSACAG00000006902	ENSGALG00000010853
ENSG00000187486	ENSACAG00000000047	ENSGALG00000020505
ENSG00000155087	ENSACAG00000009176	ENSGALG00000035199
ENSG00000100284	ENSACAG00000023996	ENSGALG00000012552
ENSG00000167083	ENSACAG00000024163	ENSGALG00000031205
ENSG00000162885	ENSACAG00000001633	ENSGALG00000013952
ENSG00000099617	ENSACAG00000009395	ENSGALG00000038629
ENSG00000175329	ENSACAG00000011255	ENSGALG00000012557
